
0% confidence level 
cancer vaf range	length range	# deletions	# somatic	# called somatic	# true positives	RECALL	PRECISION
----------------	------------	-----------	---------	----------------	----------------	------	---------
unbounded 		 unbounded 	 2742 		 1030 		 1266 			 690 			0.6699 	 0.5450
unbounded 		 [10,29] 	 2076 		 772 		 660 			 531 			0.6878 	 0.8045
unbounded 		 [30,49] 	 251 		 90 		 145 			 55 			0.6111 	 0.3793
unbounded 		 [50,69] 	 84 		 37 		 64 			 27 			0.7297 	 0.4219
unbounded 		 [70,99] 	 72 		 26 		 64 			 18 			0.6923 	 0.2812
unbounded 		 [100,249] 	 87 		 38 		 135 			 28 			0.7368 	 0.2074
unbounded 		 at least 250 	 172 		 67 		 198 			 31 			0.4627 	 0.1566
----------------	------------	-----------	---------	----------------	----------------	------	---------

95% confidence level
cancer vaf range	length range	# deletions	# somatic	# called somatic	# true positives	RECALL	PRECISION
----------------	------------	-----------	---------	----------------	----------------	------	---------
unbounded 		 unbounded 	 2742 		 1030 		 1172 			 690 		0.6699 	 0.5887
unbounded 		 [10,29] 	 2076 		 772 		 636 			 531 		0.6878 	 0.8349
unbounded 		 [30,49] 	 251 		 90 		 130 			 55 		0.6111 	 0.4231
unbounded 		 [50,69] 	 84 		 37 		 59 			 27 		0.7297 	 0.4576
unbounded 		 [70,99] 	 72 		 26 		 54 			 18 		0.6923 	 0.3333
unbounded 		 [100,249] 	 87 		 38 		 127 			 28 		0.7368 	 0.2205
unbounded 		 at least 250 	 172 		 67 		 166 			 31 		0.4627 	 0.1867
----------------	------------	-----------	---------	----------------	----------------	------	---------

99% confidence level
cancer vaf range	length range	# deletions	# somatic	# called somatic	# true positives	RECALL	PRECISION
----------------	------------	-----------	---------	----------------	----------------	------	---------
unbounded 		 unbounded 	 2742 		 1030 		 1095 			 689 			0.6689 	 0.6292
unbounded 		 [10,29] 	 2076 		 772 		 615 			 530 			0.6865 	 0.8618
unbounded 		 [30,49] 	 251 		 90 		 121 			 55 			0.6111 	 0.4545
unbounded 		 [50,69] 	 84 		 37 		 50 			 27 			0.7297 	 0.5400
unbounded 		 [70,99] 	 72 		 26 		 49 			 18 			0.6923 	 0.3673
unbounded 		 [100,249] 	 87 		 38 		 110 			 28 			0.7368 	 0.2545
unbounded 		 at least 250 	 172 		 67 		 150 			 31 			0.4627 	 0.2067

99.9% confidence level
cancer vaf range	length range	# deletions	# somatic	# called somatic	# true positives	RECALL	PRECISION
----------------	------------	-----------	---------	----------------	----------------	------	---------
unbounded 		 unbounded 	 2742 		 1030 		 1028 			 688 			0.6680 	 0.6693
unbounded 		 [10,29] 	 2076 		 772 		 592 			 529 			0.6852 	 0.8936
unbounded 		 [30,49] 	 251 		 90 		 110 			 55 			0.6111 	 0.5000
unbounded 		 [50,69] 	 84 		 37 		 45 			 27 			0.7297 	 0.6000
unbounded 		 [70,99] 	 72 		 26 		 46 			 18 			0.6923 	 0.3913
unbounded 		 [100,249] 	 87 		 38 		 103 			 28 			0.7368 	 0.2718
unbounded 		 at least 250 	 172 		 67 		 132 			 31 			0.4627 	 0.2348
----------------	------------	-----------	---------	----------------	----------------	------	---------

cancer vaf range	length range	# deletions	# somatic	# called somatic	# true positives	RECALL	PRECISION
----------------	------------	-----------	---------	----------------	----------------	------	---------
unbounded 		 unbounded 	 2742 		 1030 		 959 			 687 			0.6670 	 0.7164
unbounded 		 [10,29] 	 2076 		 772 		 579 			 528 			0.6839 	 0.9119
unbounded 		 [30,49] 	 251 		 90 		 103 			 55 			0.6111 	 0.5340
unbounded 		 [50,69] 	 84 		 37 		 37 			 27 			0.7297 	 0.7297
unbounded 		 [70,99] 	 72 		 26 		 35 			 18 			0.6923 	 0.5143
unbounded 		 [100,249] 	 87 		 38 		 89 			 28 			0.7368 	 0.3146
